Title,Authors,PDF Link,Year
"State Aggregation Learning from Markov Transition Data","Yaqi Duan, Tracy Ke, Mengdi Wang","https://papers.nips.cc//paper_files/paper/2019/file/070dbb6024b5ef93784428afc71f2146-AuthorFeedback.pdf","2019"
"Reliable training and estimation of variance networks","Nicki Skafte, Martin Jørgensen, Søren Hauberg","https://papers.nips.cc//paper_files/paper/2019/file/07211688a0869d995947a8fb11b215d6-AuthorFeedback.pdf","2019"
"Learning Manifold Implicitly via Explicit Heat-Kernel Learning","Yufan Zhou, Changyou Chen, Jinhui Xu","https://papers.nips.cc//paper_files/paper/2020/file/05e2a0647e260c355dd2b2175edb45b8-AuthorFeedback.pdf","2020"
"What is being transferred in transfer learning?","Behnam Neyshabur, Hanie Sedghi, Chiyuan Zhang","https://papers.nips.cc//paper_files/paper/2020/file/0607f4c705595b911a4f3e7a127b44e0-AuthorFeedback.pdf","2020"
"Neural Networks with Recurrent Generative Feedback","Yujia Huang, James Gornet, Sihui Dai, Zhiding Yu, Tan Nguyen, Doris Tsao, Anima Anandkumar","https://papers.nips.cc//paper_files/paper/2020/file/0660895c22f8a14eb039bfb9beb0778f-AuthorFeedback.pdf","2020"
"Submodular Maximization Through Barrier Functions","Ashwinkumar Badanidiyuru, Amin Karbasi, Ehsan Kazemi, Jan Vondrak","https://papers.nips.cc//paper_files/paper/2020/file/061412e4a03c02f9902576ec55ebbe77-AuthorFeedback.pdf","2020"
"Meta-Learning with Implicit Gradients","Aravind Rajeswaran, Chelsea Finn, Sham M. Kakade, Sergey Levine","https://papers.nips.cc//paper_files/paper/2019/file/072b030ba126b2f4b2374f342be9ed44-AuthorFeedback.pdf","2019"
"Differentially Private Markov Chain Monte Carlo","Mikko Heikkilä, Joonas Jälkö, Onur Dikmen, Antti Honkela","https://papers.nips.cc//paper_files/paper/2019/file/074177d3eb6371e32c16c55a3b8f706b-AuthorFeedback.pdf","2019"
"Learning to Extrapolate Knowledge: Transductive Few-shot Out-of-Graph Link Prediction","Jinheon Baek, Dong Bok Lee, Sung Ju Hwang","https://papers.nips.cc//paper_files/paper/2020/file/0663a4ddceacb40b095eda264a85f15c-AuthorFeedback.pdf","2020"
"Universal Boosting Variational Inference","Trevor Campbell, Xinglong Li","https://papers.nips.cc//paper_files/paper/2019/file/07a4e20a7bbeeb7a736682b26b16ebe8-AuthorFeedback.pdf","2019"
"Exploiting weakly supervised visual patterns to learn from partial annotations","Kaustav Kundu, Joseph Tighe","https://papers.nips.cc//paper_files/paper/2020/file/066ca7bf90807fcd8e4f1eaef4e4e8f7-AuthorFeedback.pdf","2020"
"Improving Inference for Neural Image Compression","Yibo Yang, Robert Bamler, Stephan Mandt","https://papers.nips.cc//paper_files/paper/2020/file/066f182b787111ed4cb65ed437f0855b-AuthorFeedback.pdf","2020"
